BFrequency,IConcreteness,IFrequency,ILetters,IPhonNeighbour,IPhonemes,ISyllables,Initial,POS,TConcreteness,TFrequency,TLetters,TPOS,TPhonNeighbour,TPhonemes,TSyllables,Trailing,acc,accuracy,category,correct,correct_response,response_time,response_time_keyboard_response
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,word,1,[word_response],591,591
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,word,1,[word_response],459,459
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,nonword,1,[nonword_response],381,381
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,nonword,1,[nonword_response],559,559
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,nonword,1,[nonword_response],558,558
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,word,1,[word_response],351,351
65,2.08,462777,3,34,3,1,not,Not,3.67,7271,6,Verb,6,6,2,travel,100,100,word,1,[word_response],443,443
-,1.93,89068,5,18,4,2,being,Verb,-,-,7,-,-,5,-,smorste,100,100,word,1,[nonword_response],515,515
294,1.85,664780,2,47,2,1,be,Verb,2.32,88863,5,Determiner,21,3,1,those,100,100,word,1,[word_response],394,394
820,1.59,998867,2,30,2,1,is,Verb,1.72,124108,3,Determiner,19,3,2,any,100,100,word,1,[word_response],294,294
-,1.44,48090,6,18,4,2,really,Adverb,-,-,7,-,-,5,-,ghweins,100,100,word,1,[nonword_response],363,363
-,2.42,152626,2,42,2,1,my,Pronoun,-,-,4,-,-,3,-,pauf,100,100,word,1,[nonword_response],496,496
-,1.43,6187927,3,27,2,1,the,Article,-,-,5,-,-,4,-,marfs,100,100,word,1,[nonword_response],514,514
832,3.07,154981,4,28,3,1,time,Noun,1.93,89068,5,Verb,18,4,2,being,100,100,word,1,[word_response],340,340
-,4.75,38892,3,43,3,1,men,Noun,-,-,6,-,-,4,-,klighl,100,100,word,1,[nonword_response],418,418
37,2.45,143429,3,36,3,1,did,Verb,2.41,152906,4,Adverb,1,4,2,only,100,100,word,1,[word_response],344,344
-,1.48,322832,4,33,2,1,were,Verb,-,-,7,-,-,5,-,knilmed,100,100,word,1,[nonword_response],486,486
253,4.2,15011,5,6,4,1,month,Noun,1.63,851723,3,Preposition,35,2,1,for,100,100,word,1,[word_response],329,329
-,2.97,4523,4,45,3,1,sick,Adjective,-,-,6,-,-,4,-,yeephs,100,100,word,1,[nonword_response],441,441
212,2.76,4800,7,13,5,2,passing,Verb,3.25,724197,2,Preposition,27,2,1,on,100,100,word,1,[word_response],547,547
-,2.04,19548,4,27,3,1,gone,Verb,-,-,5,-,-,4,-,wysed,100,100,word,1,[nonword_response],364,364
14,1.28,4483,7,0,5,2,somehow,Adverb,2.38,99506,3,Verb,36,3,1,get,100,100,word,1,[word_response],387,387
-,1.28,4483,7,0,5,2,somehow,Adverb,-,-,6,-,-,4,-,rommed,100,100,word,1,[nonword_response],450,450
-,1.85,664780,2,47,2,1,be,Verb,-,-,6,-,-,4,-,shurld,100,100,word,1,[nonword_response],457,457
-,1.89,153847,4,37,3,1,like,Preposition,-,-,7,-,-,5,-,psiscks,100,100,word,1,[nonword_response],344,344
