"Bigram_Frequency","Conc_initial","Conc_trailing","Freq_initial","Freq_trailing","Group","Initial","LR_Diversity","Letters_initial","Letters_ttrailing","POS_initial","POS_trailing","Phonemes_initial","Phonemes_trailing","Syll_initial","Syll_trailing","Trailing","W_NW","accuracy","correct","correct_response","response_time"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","[nonword_response]","3000"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50","1","[nonword_response]","2671"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66.6666666667","1","[word_response]","1026"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","75","1","[word_response]","581"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","80","1","[nonword_response]","508"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","83.3333333333","1","[word_response]","532"
"0","2.94","3.61","172.76","186.52","3","systems","154","7","5","Noun","Adjective","","","2","1","short","w","85.7142857143","1","[word_response]","593"
"508","2.71","4.9","73.75","57.39","1","credit","109","6","4","Noun","Noun","6","4","2","1","card","w","87.5","1","[word_response]","519"
"10","2.22","2.31","9.91","57.8","2","enforced","11","8","7","Verb","Noun","7","6","2","2","absence","w","88.8888888889","1","[word_response]","590"
"3624","3.9","4.14","162.55","151.14","1","date","92","4","5","Noun","Noun","3","5","1","2","award","w","90","1","[word_response]","450"
"","","","","","0","local","","","","","","","","","","chidlren","nw","90.9090909091","1","[nonword_response]","1040"
"8465","3.04","4.52","721.82","365.29","1","last","473","4","5","Number","Noun","4","3","1","1","night","w","91.6666666667","1","[word_response]","486"
"","","","","","0","shot","","","","","","","","","","daed","nw","92.3076923077","1","[nonword_response]","676"
"0","3.54","1.68","0.19","198.34","3","oaken","#N/A","5","5","Adjective","Determiner","","3","2","1","whose","w","92.8571428571","1","[word_response]","535"
"0","4.64","","2.13","0.89","3","slug","3","4","4","Noun","Verb","","","1","1","gags","w","93.3333333333","1","[word_response]","778"
"10","2.7","2.67","2.43","107.25","2","rustic","1","6","5","Adjective","Noun","6","4","2","1","style","w","93.75","1","[word_response]","494"
"0","3.64","2.35","32.48","187.78","3","cycle","44","5","8","Verb","Noun","","7","2","2","language","w","94.1176470588","1","[word_response]","549"
"","","","","","0","puck","","","","","","","","","","tiems","nw","94.4444444444","1","[nonword_response]","1019"
"","","","","","0","date","","","","","","","","","","awrad","nw","94.7368421053","1","[nonword_response]","800"
"","","","","","0","always","","","","","","","","","","steret","nw","95","1","[nonword_response]","993"
"466","3.43","3.37","46.52","98.77","1","index","52","5","6","Noun","Verb","6","5","2","1","closed","w","95.2380952381","1","[word_response]","511"
"0","4.36","2.53","0.07","489.23","3","gunboat","#N/A","7","5","Noun","Verb","","4","2","1","found","w","95.4545454545","1","[word_response]","490"
"","","","","","0","wide","","","","","","","","","","ragne","nw","95.652173913","1","[nonword_response]","682"
"0","2.72","3.68","1.22","0.77","3","trillion","#N/A","8","5","Noun","Verb","","","2","1","droop","w","95.8333333333","1","[word_response]","865"
"535","4.08","2.41","72.32","53.15","1","bloody","75","6","4","Adjective","Noun","5","3","2","1","hell","w","96","1","[word_response]","511"
"10","1.96","2.22","882.75","68.51","2","before","517","6","6","Conjunction","Adjective","5","5","2","2","actual","w","96.1538461538","1","[word_response]","731"
"0","2.17","4.22","0.05","0.75","3","rethinks","#N/A","8","5","Verb","Adjective","","","2","2","scaly","w","96.2962962963","1","[word_response]","831"
"573","4.48","3.72","85.88","52.44","1","cash","134","4","4","Noun","Noun","3","3","1","1","flow","w","96.4285714286","1","[word_response]","609"
"","","","","","0","hoax","","","","","","","","","","laeyr","nw","96.5517241379","1","[nonword_response]","595"
"","","","","","0","slug","","","","","","","","","","acecss","nw","96.6666666667","1","[nonword_response]","1160"
"","","","","","0","inner","","","","","","","","","","ctiy","nw","96.7741935484","1","[nonword_response]","762"
"","","","","","0","daily","","","","","","","","","","psot","nw","96.875","1","[nonword_response]","687"
"11","4.5","2.39","0.6","92.1","2","puck","1","4","4","Noun","Adjective","3","3","1","1","fair","w","96.9696969697","1","[word_response]","451"
"","","","","","0","credit","","","","","","","","","","crad","nw","97.0588235294","1","[nonword_response]","900"
"551","4.44","4.07","81.97","124.94","1","shot","74","4","4","Noun","Adjective","3","3","1","1","dead","w","97.1428571429","1","[word_response]","532"
"","","","","","0","markup","","","","","","","","","","wrie","nw","97.2222222222","1","[nonword_response]","705"
"10","2.37","3.32","896.6","72.9","2","many","975","4","6","Determiner","Adjective","4","5","2","2","active","w","97.2972972973","1","[word_response]","599"
"0","1.64","4.56","52.8","1.41","3","faith","49","5","4","Noun","Noun","","","1","1","rink","w","94.7368421053","0","[word_response]","750"
"","","","","","0","rethinks","","","","","","","","","","acecpt","nw","92.3076923077","0","[nonword_response]","610"
"","","","","","0","make","","","","","","","","","","srue","nw","92.5","1","[nonword_response]","746"
"","","","","","0","slush","","","","","","","","","","pratcice","nw","90.243902439","0","[nonword_response]","652"
"","","","","","0","abase","","","","","","","","","","clal","nw","90.4761904762","1","[nonword_response]","630"
"1872","3.6","2.69","47.98","117.75","1","armed","40","5","6","Adjective","Noun","4","6","1","2","forces","w","90.6976744186","1","[word_response]","496"
"","","","","","0","many","","","","","","","","","","dnoe","nw","90.9090909091","1","[nonword_response]","638"
"0","4.64","4.8","190.4","189.92","3","building","177","8","4","Noun","Noun","6","3","2","1","food","w","91.1111111111","1","[word_response]","600"
"","","","","","0","last","","","","","","","","","","nihgt","nw","91.3043478261","1","[nonword_response]","673"
"512","3.15","4.3","76.29","93.39","1","daily","74","5","4","Adjective","Noun","4","4","2","1","post","w","91.4893617021","1","[word_response]","599"
"","","","","","0","award","","","","","","","","","","tilte","nw","91.6666666667","1","[nonword_response]","658"
"","","","","","0","index","","","","","","","","","","clsoed","nw","91.8367346939","1","[nonword_response]","712"
"10","1.44","2.38","480.9","304.1","2","really","505","6","4","Adverb","Adjective","4","4","2","2","able","w","92","1","[word_response]","523"
"","","","","","0","gunboat","","","","","","","","","","absnece","nw","90.1960784314","0","[nonword_response]","590"
"0","","3.08","0.14","199.81","3","stippled ","#N/A","9","5","Verb","Noun","","4","2","1","trade","w","90.3846153846","1","[word_response]","502"
"","","","","","0","geese","","","","","","","","","","stlye","nw","88.679245283","0","[nonword_response]","1063"
"","","","","","0","cycle","","","","","","","","","","fnud","nw","88.8888888889","1","[nonword_response]","527"
"0","","1.76","3.98","4","3","geese","4","5","4","Noun","Noun","","","1","1","wits","w","87.2727272727","0","[word_response]","648"
"","","","","","0","other","","","","","","","","","","hnad","nw","87.5","1","[nonword_response]","652"
"0","","1.93","16.47","146.92","3","winds","27","5","6","Verb","Verb","","5","1","2","agreed","w","87.7192982456","1","[word_response]","562"
"","","","","","0","time","","","","","","","","","","amry","nw","87.9310344828","1","[nonword_response]","718"
"0","","3.3","0.06","493.85","3","abase","#N/A","5","6","Verb","Noun","","5","2","2","number","w","88.1355932203","1","[word_response]","431"
"0","2.83","2.41","5.09","114.69","3","briskly","8","7","5","Adjective","Verb","","3","2","2","allow","w","88.3333333333","1","[word_response]","430"
"","","","","","0","winds","","","","","","","","","","acitve","nw","86.8852459016","0","[nonword_response]","560"
"","","","","","0","case","","","","","","","","","","unoin","nw","87.0967741935","1","[nonword_response]","532"
"","","","","","0","building","","","","","","","","","","abvoe","nw","87.3015873016","1","[nonword_response]","652"
"","","","","","0","briskly","","","","","","","","","","albe","nw","85.9375","0","[nonword_response]","1025"
"","","","","","0","interest","","","","","","","","","","aicd","nw","86.1538461538","1","[nonword_response]","761"
"10","1.8","3.08","276.11","158.91","2","interest","149","8","7","Noun","Noun","7","5","3","2","account","w","86.3636363636","1","[word_response]","626"
"599","2.86","4.79","44.9","232.47","1","inner","65","5","4","Adjective","Noun","3","4","2","2","city","w","86.5671641791","1","[word_response]","490"
"","","","","","0","second","","","","","","","","","","hlaf","nw","86.7647058824","1","[nonword_response]","552"
"10","2.7","2.35","0.22","187.78","2","markup","1","6","8","Noun","Noun","6","7","2","2","language","w","86.9565217391","1","[word_response]","548"
"10","3.13","4.87","1.21","349.78","2","craggy","1","6","4","Adjective","Noun","5","3","2","1","face","w","87.1428571429","1","[word_response]","445"
"0","2","4.75","0.05","196.14","3","vexes","#N/A","5","6","Verb","Noun","","5","2","1","street","w","85.9154929577","0","[word_response]","589"
"","","","","","0","oaken","","","","","","","","","","fiar","nw","86.1111111111","1","[nonword_response]","874"
"2745","3.06","3.22","121.31","204.27","1","wide","115","4","5","Adjective","Noun","3","4","1","1","range","w","86.301369863","1","[word_response]","443"
"","","","","","0","trillion","","","","","","","","","","accuont","nw","85.1351351351","0","[nonword_response]","474"
"","","","","","0","bloody","","","","","","","","","","hlel","nw","85.3333333333","1","[nonword_response]","617"
"","","","","","0","really","","","","","","","","","","rian","nw","85.5263157895","1","[nonword_response]","787"
"","","","","","0","enforced","","","","","","","","","","fvie","nw","85.7142857143","1","[nonword_response]","566"
"","","","","","0","armed","","","","","","","","","","focres","nw","84.6153846154","0","[nonword_response]","735"
"","","","","","0","vexes","","","","","","","","","","lanugage","nw","83.5443037975","0","[nonword_response]","546"
"","","","","","0","stippled ","","","","","","","","","","fcae","nw","83.75","1","[nonword_response]","540"
"","","","","","0","before","","","","","","","","","","grwoth","nw","83.950617284","1","[nonword_response]","539"
"12","2.67","4","1.59","194.84","2","hoax","2","4","4","Noun","Verb","4","3","1","1","call","w","84.1463414634","1","[word_response]","469"
"","","","","","0","rustic","","","","","","","","","","thnig","nw","84.3373493976","1","[nonword_response]","534"
"","","","","","0","craggy","","","","","","","","","","watse","nw","84.5238095238","1","[nonword_response]","545"
"","","","","","0","systems","","","","","","","","","","acutal","nw","83.5294117647","0","[nonword_response]","557"
"10","4.04","3.18","0.82","64.07","2","slush","1","5","4","Noun","Noun","4","4","1","1","fund","w","83.7209302326","1","[word_response]","428"
"","","","","","0","cash","","","","","","","","","","folw","nw","83.908045977","1","[nonword_response]","558"
"10","1.71","3.03","462.28","98.07","2","always","567","6","6","Adverb","Verb","5","6","2","2","accept","w","84.0909090909","1","[word_response]","426"
"5568","2.04","4.72","1421.4","353.52","1","other","1749","5","4","Adjective","Noun","3","4","2","1","hand","w","84.2696629213","1","[word_response]","394"
"10","3.04","2.71","463.63","109.4","2","local","568","5","6","Adjective","Noun","5","5","2","2","access","w","84.4444444444","1","[word_response]","539"
"10","3.93","3.33","432.84","257.48","2","case","237","4","5","Noun","Preposition","3","4","1","2","above","w","84.6153846154","1","[word_response]","874"
"1769","3.3","3.27","414.54","297.82","1","second","498","6","4","Noun","Determiner","6","3","2","1","half","w","84.7826086957","1","[word_response]","521"
"1815","4.14","3.32","151.14","97.9","1","award","50","5","5","Noun","Noun","5","5","2","2","title","w","84.9462365591","1","[word_response]","674"
"","","","","","0","faith","","","","","","","","","","acorss","nw","85.1063829787","1","[nonword_response]","965"
"4530","2.67","1.73","794.81","245.95","1","make","376","4","4","Verb","Adjective","3","3","1","1","sure","w","84.2105263158","0","[word_response]","1054"
"10","3.07","3.07","1549.81","252.03","2","time","569","4","6","Noun","Preposition","3","5","1","2","across","w","84.375","1","[word_response]","516"
"11","2.83","2.57","451.17","50.4","2","give","248","4","7","Verb","Noun","3","6","1","2","advance","w","84.5360824742","1","[word_response]","530"
"0","2.82","4.53","0.12","133.35","3","snuffles","#N/A","8","5","Verb","Noun","","","2","2","model","w","84.693877551","1","[word_response]","703"
"","","","","","0","people","","","","","","","","","","numebr","nw","83.8383838384","0","[nonword_response]","502"
"","","","","","0","way","","","","","","","","","","agere","nw","84","1","[nonword_response]","759"
"","","","","","0","fifty","","","","","","","","","","afarid","nw","84.1584158416","1","[nonword_response]","909"
"0","3.7","4.69","15.35","0.51","3","reaches","16","7","6","Verb","Noun","","","2","2","timers","w","84.3137254902","1","[word_response]","571"
"0","4.1","4","3.95","2.22","3","tides","4","5","5","Noun","Adjective","","","1","1","mauve","w","83.4951456311","0","[word_response]","598"
"","","","","","0","acid","","","","","","","","","","adedd","nw","83.6538461538","1","[nonword_response]","610"
"","","","","","0","drubs","","","","","","","","","","nugde","nw","82.8571428571","0","[nonword_response]","1230"
"","","","","","0","fart","","","","","","","","","","ocurse","nw","83.0188679245","1","[nonword_response]","641"
"0","4.04","2.5","6.46","190.6","3","oval","9","4","7","Adjective","Noun","","3","2","1","hipster","w","83.1775700935","1","[word_response]","715"
"","","","","","0","bile","","","","","","","","","","ptah","nw","83.3333333333","1","[nonword_response]","562"
"0","2.5","2.03","0.18","199.64","3","berate","#N/A","6","8","Verb","Verb","","7","2","2","involved","w","83.4862385321","1","[word_response]","591"
"","","","","","0","ozone","","","","","","","","","","acheive","nw","82.7272727273","0","[nonword_response]","604"
"0","3.04","4.91","0.85","9.91","3","recede","#N/A","6","5","Verb","Noun","","","2","1","socks","w","82.8828828829","1","[word_response]","598"
"","","","","","0","chow","","","","","","","","","","trdae","nw","83.0357142857","1","[nonword_response]","595"
"","","","","","0","secret","","","","","","","","","","whsoe","nw","83.185840708","1","[nonword_response]","541"
