P,Sex,Age,Bigram_Frequency,Conc_initial,Conc_trailing,Freq_initial,Freq_trailing,Group,Initial,LR_Diversity,Letters_initial,Letters_ttrailing,POS_initial,POS_trailing,Phonemes_initial,Phonemes_trailing,Syll_initial,Syll_trailing,Trailing,W_NW,accuracy,correct,correct_response,response_time
1,1,30,0,2.5,2.03,0.18,199.64,3,berate,0,6,8,Verb,Verb,,7,2,2,involved,w,71.42857143,1,[word_response],741
1,1,30,10,2.19,3.89,57.65,70.36,2,secret,69,6,7,Noun,Noun,6,5,2,2,address,w,62.5,0,[word_response],473
1,1,30,,,,,,0,have,0,4,5,,,,,,,sihgt,nw,66.66666667,1,[nonword_response],502
1,1,30,305,3.81,4.75,22.47,196.14,1,fleet,25,5,6,Noun,Noun,4,5,1,1,street,w,70,1,[word_response],470
1,1,30,,,,,,0,snuffles,0,8,5,,,,,,,moedl,nw,72.72727273,1,[nonword_response],500
1,1,30,461,1.64,2.52,807.95,171.14,1,good,850,4,8,Adjective,Noun,3,7,1,2,practice,w,75,1,[word_response],579
1,1,30,255,3.13,3.24,12.2,67.62,1,toxic,20,5,5,Adjective,Verb,6,4,2,1,waste,w,69.23076923,0,[word_response],383
1,1,30,0,4.63,4.4,8.91,62.03,3,ski,17,3,8,Verb,Noun,,7,1,2,aircraft,w,71.42857143,1,[word_response],515
1,1,30,428,4.33,3.38,34.45,176.07,1,rugby,39,5,5,Noun,Noun,5,6,2,2,union,w,73.33333333,1,[word_response],481
1,1,30,14,4.47,3.93,0.67,137.01,2,chow,1,4,4,Noun,Noun,2,4,1,1,test,w,75,1,[word_response],416
1,1,30,,,,,,0,bile,0,4,4,,,,,,,ptah,nw,76.47058824,1,[nonword_response],437
1,1,30,10,1.93,2.73,575.47,104.37,2,want,139,4,6,Verb,Noun,4,5,1,2,advice,w,77.77777778,1,[word_response],376
1,1,30,,,,,,0,secret,0,6,5,,,,,,,whsoe,nw,78.94736842,1,[nonword_response],460
1,1,30,,,,,,0,their,0,5,4,,,,,,,fodo,nw,75,0,[nonword_response],476
1,1,30,381,3.48,3.87,85.82,407.39,1,fifty,78,5,4,Number,Number,5,3,2,1,five,w,76.19047619,1,[word_response],605
1,1,30,,,,,,0,chilli,0,6,4,,,,,,,acll,nw,77.27272727,1,[nonword_response],520
1,1,30,,,,,,0,eighth,0,6,6,,,,,,,atcion,nw,78.26086957,1,[nonword_response],453
1,1,30,,,,,,0,recent,0,6,7,,,,,,,adrdess,nw,75,0,[nonword_response],404
1,1,30,,,,,,0,gimlet,0,6,6,,,,,,,coidng,nw,76,1,[nonword_response],521
1,1,30,,,,,,0,acid,0,4,5,,,,,,,adedd,nw,76.92307692,1,[nonword_response],599
1,1,30,452,3.5,3.52,12.85,25.43,1,ozone,14,5,5,Noun,Noun,4,3,2,2,layer,w,74.07407407,0,[word_response],483
1,1,30,0,,4,1.93,194.84,3,chilli,5,6,4,Noun,Verb,,3,2,1,call,w,75,1,[word_response],418
1,1,30,207,3.81,4.72,2.9,22.69,1,barbed,1,6,4,Adjective,Noun,5,3,1,1,wire,w,75.86206897,1,[word_response],518
1,1,30,243,3.07,2.89,36.05,129.82,1,rapid,53,5,6,Adjective,Noun,5,4,2,1,growth,w,76.66666667,1,[word_response],437
1,1,30,,,,,,0,chow,0,4,5,,,,,,,trdae,nw,77.41935484,1,[nonword_response],487
1,1,30,234,4.46,4.25,11.83,49.68,1,bile,17,4,4,Noun,Noun,3,4,1,2,acid,w,75,0,[word_response],456
1,1,30,,,,,,0,rugby,0,5,5,,,,,,,stgae,nw,72.72727273,0,[nonword_response],745
1,1,30,14,3.68,4.8,2.15,189.92,2,canned,3,6,4,Adjective,Noun,4,3,1,1,food,w,70.58823529,0,[word_response],398
1,1,30,,,,,,0,lifer ,0,6,4,,,,,,,hgus,nw,71.42857143,1,[nonword_response],802
1,1,30,0,4.04,2.5,6.46,190.6,3,oval,9,4,7,Adjective,Noun,,3,2,1,hipster,w,72.22222222,1,[word_response],273
1,1,30,198,2.5,3.17,44.9,352.11,1,funny,62,5,5,Adjective,Noun,4,3,2,1,thing,w,72.97297297,1,[word_response],410
1,1,30,,,,,,0,barbed,0,6,5,,,,,,,folor,nw,73.68421053,1,[nonword_response],429
1,1,30,,,,,,0,quickly,0,7,5,,,,,,,allwo,nw,71.79487179,0,[nonword_response],671
1,1,30,10,4.82,2.29,1241.58,67.68,2,people,679,6,7,Noun,Verb,5,4,2,2,achieve,w,70,0,[word_response],535
1,1,30,13,3.93,4.41,2.2,62.51,2,glide,1,5,4,Verb,Noun,4,3,1,1,path,w,70.73170732,1,[word_response],581
1,1,30,,,,,,0,darn,0,4,6,,,,,,,agered,nw,71.42857143,1,[nonword_response],576
1,1,30,,,,,,0,fleet,0,5,6,,,,,,,adivce,nw,69.76744186,0,[nonword_response],397
1,1,30,11,2.83,2.57,451.17,50.4,2,give,248,4,7,Verb,Noun,3,6,1,2,advance,w,70.45454545,1,[word_response],625
1,1,30,,,,,,0,way,0,3,5,,,,,,,agere,nw,71.11111111,1,[nonword_response],331
1,1,30,,,,,,0,year,0,4,7,,,,,,,hunderd,nw,69.56521739,0,[nonword_response],483
1,1,30,,,,,,0,ski,0,3,8,,,,,,,aicrraft,nw,70.21276596,1,[nonword_response],804
1,1,30,,,,,,0,fart,0,4,6,,,,,,,ocurse,nw,70.83333333,1,[nonword_response],503
1,1,30,,,,,,0,funny,0,5,5,,,,,,,adlut,nw,71.42857143,1,[nonword_response],534
1,1,30,17,3.27,4.64,1.46,165.65,2,larval,3,6,5,Adjective,Noun,6,4,2,1,stage,w,72,1,[word_response],516
1,1,30,,,,,,0,berate,0,6,8,,,,,,,ivnolved,nw,72.54901961,1,[nonword_response],497
1,1,30,2083,3.34,4.89,2609.19,466.08,1,their,3442,5,8,Pronoun,Noun,3,7,1,2,children,w,71.15384615,0,[word_response],562
1,1,30,0,3.28,4.14,0.11,1.03,3,lifer ,0,6,4,Noun,Verb,,,2,1,hugs,w,71.69811321,1,[word_response],510
