P,Sex,Age,Bigram_Frequency,Conc_trailing,Freq_trailing,LR_Diversity,Letters_trailing,POS_trailing,Syll_trailing,Trailing,response_time
1,1,30,600,1.66,315.88,2752,6,Adverb,2,almost,597
2,1,50,600,1.66,315.88,2752,6,Adverb,2,almost,867
3,1,60,600,1.66,315.88,2752,6,Adverb,2,almost,1108
4,1,51,600,1.66,315.88,2752,6,Adverb,2,almost,680
5,1,29,600,1.66,315.88,2752,6,Adverb,2,almost,576
7,0,38,600,1.66,315.88,2752,6,Adverb,2,almost,365
8,1,30,600,1.66,315.88,2752,6,Adverb,2,almost,810
9,1,46,600,1.66,315.88,2752,6,Adverb,2,almost,1108
10,1,21,600,1.66,315.88,2752,6,Adverb,2,almost,632
11,1,20,600,1.66,315.88,2752,6,Adverb,2,almost,603
12,0,24,600,1.66,315.88,2752,6,Adverb,2,almost,491
13,1,29,600,1.66,315.88,2752,6,Adverb,2,almost,606
14,0,22,600,1.66,315.88,2752,6,Adverb,2,almost,648
16,1,22,600,1.66,315.88,2752,6,Adverb,2,almost,1414
17,1,33,600,1.66,315.88,2752,6,Adverb,2,almost,630
18,1,25,600,1.66,315.88,2752,6,Adverb,2,almost,463
19,1,46,600,1.66,315.88,2752,6,Adverb,2,almost,1508
20,1,23,600,1.66,315.88,2752,6,Adverb,2,almost,754
21,1,18,600,1.66,315.88,2752,6,Adverb,2,almost,409
22,1,29,600,1.66,315.88,2752,6,Adverb,2,almost,511
23,1,42,600,1.66,315.88,2752,6,Adverb,2,almost,542
24,1,48,600,1.66,315.88,2752,6,Adverb,2,almost,506
25,1,47,600,1.66,315.88,2752,6,Adverb,2,almost,1046
26,0,51,600,1.66,315.88,2752,6,Adverb,2,almost,715
27,1,46,600,1.66,315.88,2752,6,Adverb,2,almost,517
28,1,30,600,1.66,315.88,2752,6,Adverb,2,almost,796
29,0,29,600,1.66,315.88,2752,6,Adverb,2,almost,1330
29,0,29,600,1.66,315.88,2752,6,Adverb,2,almost,1330
2,1,50,0,1.68,198.34,0,5,Determiner,1,whose,1033
3,1,60,0,1.68,198.34,0,5,Determiner,1,whose,2467
4,1,51,0,1.68,198.34,0,5,Determiner,1,whose,714
7,0,38,0,1.68,198.34,0,5,Determiner,1,whose,455
8,1,30,0,1.68,198.34,0,5,Determiner,1,whose,463
9,1,46,0,1.68,198.34,0,5,Determiner,1,whose,2467
10,1,21,0,1.68,198.34,0,5,Determiner,1,whose,587
12,0,24,0,1.68,198.34,0,5,Determiner,1,whose,1040
14,0,22,0,1.68,198.34,0,5,Determiner,1,whose,493
16,1,22,0,1.68,198.34,0,5,Determiner,1,whose,1495
18,1,25,0,1.68,198.34,0,5,Determiner,1,whose,575
20,1,23,0,1.68,198.34,0,5,Determiner,1,whose,796
22,1,29,0,1.68,198.34,0,5,Determiner,1,whose,736
23,1,42,0,1.68,198.34,0,5,Determiner,1,whose,535
26,0,51,0,1.68,198.34,0,5,Determiner,1,whose,1238
27,1,46,0,1.68,198.34,0,5,Determiner,1,whose,117
28,1,30,0,1.68,198.34,0,5,Determiner,1,whose,634
1,1,30,117,1.73,110.02,1128,6,Noun,2,appeal,739
2,1,50,117,1.73,110.02,1128,6,Noun,2,appeal,906
3,1,60,117,1.73,110.02,1128,6,Noun,2,appeal,751
4,1,51,117,1.73,110.02,1128,6,Noun,2,appeal,334
5,1,29,117,1.73,110.02,1128,6,Noun,2,appeal,587
6,1,30,117,1.73,110.02,1128,6,Noun,2,appeal,834
7,0,38,117,1.73,110.02,1128,6,Noun,2,appeal,563
8,1,30,117,1.73,110.02,1128,6,Noun,2,appeal,513
9,1,46,117,1.73,110.02,1128,6,Noun,2,appeal,751
10,1,21,117,1.73,110.02,1128,6,Noun,2,appeal,574
11,1,20,117,1.73,110.02,1128,6,Noun,2,appeal,741
12,0,24,117,1.73,110.02,1128,6,Noun,2,appeal,461
13,1,29,117,1.73,110.02,1128,6,Noun,2,appeal,491
14,0,22,117,1.73,110.02,1128,6,Noun,2,appeal,587
16,1,22,117,1.73,110.02,1128,6,Noun,2,appeal,1753
17,1,33,117,1.73,110.02,1128,6,Noun,2,appeal,664
18,1,25,117,1.73,110.02,1128,6,Noun,2,appeal,457
19,1,46,117,1.73,110.02,1128,6,Noun,2,appeal,750
20,1,23,117,1.73,110.02,1128,6,Noun,2,appeal,511
21,1,18,117,1.73,110.02,1128,6,Noun,2,appeal,563
22,1,29,117,1.73,110.02,1128,6,Noun,2,appeal,662
23,1,42,117,1.73,110.02,1128,6,Noun,2,appeal,571
24,1,48,117,1.73,110.02,1128,6,Noun,2,appeal,1625
25,1,47,117,1.73,110.02,1128,6,Noun,2,appeal,662
26,0,51,117,1.73,110.02,1128,6,Noun,2,appeal,771
27,1,46,117,1.73,110.02,1128,6,Noun,2,appeal,513
28,1,30,117,1.73,110.02,1128,6,Noun,2,appeal,1605
29,0,29,117,1.73,110.02,1128,6,Noun,2,appeal,968
29,0,29,117,1.73,110.02,1128,6,Noun,2,appeal,968
2,1,50,4530,1.73,245.95,376,4,Adjective,1,sure,714
3,1,60,4530,1.73,245.95,376,4,Adjective,1,sure,547
4,1,51,4530,1.73,245.95,376,4,Adjective,1,sure,488
6,1,30,4530,1.73,245.95,376,4,Adjective,1,sure,881
7,0,38,4530,1.73,245.95,376,4,Adjective,1,sure,451
